Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,MPN,MFN,PurchasingLink
1,"Capacitor, 1uF, 25V, 10%, 0805",C_1uF,C12 C13 C14,1uF,C_0805_OEM,3,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/20/CL21A105KAFNNNE.pdf,1276-2887-1-ND,DK,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A105KAFNNNE/1276-2887-1-ND/3890973
2,"Capacitor, 0.1uF, 50V, 5%, 0805",C_0.1uF,C11 C15,C_0.1uF,C_0805_OEM,2,http://datasheets.avx.com/X7RDielectric.pdf,478-3352-1-ND,DK,https://www.digikey.com/products/en?keywords=478-3352-1-ND
3,"Capacitor, 10nF 50V X7R 0805",C_10nF,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C16 C17 C18 C19 C20,C_10nF,C_0805_OEM,15,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/07/23/CL21B103KBANNNC.pdf,1276-1015-1-ND,DK,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B103KBANNNC/1276-1015-1-ND/3889101
4,"Capacitor, 1uF, 25V, 10%, 0805",C_1uF,C21 C22 C23,C_1uF,C_0805_OEM,3,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/20/CL21A105KAFNNNE.pdf,1276-2887-1-ND,DK,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A105KAFNNNE/1276-2887-1-ND/3890973
5,"LED, Green, 2.2V, 20mA, 0805",LED_0805,D1 D2 D3 D4 D5 D6 D7 D8 D9 D10,LED_0805,LED_0805_OEM,10,http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf,475-1410-1-ND,DK,https://www.digikey.com/products/en?keywords=475-1410-1-ND
6,Micro-MaTch connector 16 pin female vertical,MM_F_VT_16,J3,MM_F_VT_16,micromatch_female_vert_16,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338068%7FF1%7Fpdf%7FEnglish%7FENG_CD_338068_F1.pdf%7F1-338068-6,1-338068-6,TE,http://www.te.com/global-en/product-1-338068-6.html
7,Micro-MaTch connector 20 pin female vertical,MM_F_VT_20,J4,MM_F_VT_20,micromatch_female_vert_20,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338068%7FF1%7Fpdf%7FEnglish%7FENG_CD_338068_F1.pdf%7F2-338068-0,2-338068-0,TE,http://www.te.com/global-en/product-2-338068-0.html
8,Mechanical Cutout for Zip-tie attachement,isoSPI-Cutout,J1 J2,isoSPI-Cutout,iso_spi_cutout,2,https://docs.olinelectricmotorsports.com/display/ETD/BMS#BMS-NanoFitFootprintSizingwithZiptieAttachment-3/11/19,,,
9,"MOSFET, P-channel, 30V, 2A",BSS308PE,Q1 Q2 Q3 Q4 Q5 Q6 Q7 Q8 Q9 Q10,BSS308PE,SOT-23-3_OEM,10,https://www.infineon.com/dgdl/BSS308PE_Rev2.03.pdf?folderId=db3a304314dca38901154a72e3951a65&fileId=db3a304330f686060131099c80400073,BSS308PEH6327XTSA1CT-ND,DK,https://www.digikey.com/products/en/discrete-semiconductor-products/transistors-fets-mosfets-single/278?k=bss308pe&k=&pkeyword=bss308pe&pv7=2&pv1989=0&sf=0&quantity=&ColumnSort=0&page=1&stock=1&datasheet=1&pageSize=25
10,"100V, 2.0A, Low VCE NPN Transistor",NSS1C201MZ4,Q11,NSS1C201MZ4,SOT-223,1,http://www.onsemi.com/pub/Collateral/NSS1C201MZ4-D.PDF,NSS1C201MZ4T3GOSCT-ND,DK,https://www.digikey.com/product-detail/en/on-semiconductor/NSS1C201MZ4T3G/NSS1C201MZ4T3GOSCT-ND/9087487
11,"Resistor, 100, 0.25W, 1%, 0805",R_100,R31 R32 R33 R34 R35 R36 R37 R38 R39 R40 R41 R42 R46 R82,R_100,R_0805_OEM,14,https://www.seielect.com/Catalog/SEI-rncp.pdf,RNCP0805FTD100RCT-ND,DK,https://www.digikey.com/products/en?keywords=RNCP0805FTD100RCT-ND
12,"Resistor, 100K, 0.125W, 1%, 0805",R_100K,R49 R50 R51 R53 R54 R55 R57 R58 R59 R65 R66 R67 R69 R70 R71 R73 R74 R75 R76 R77 R78 R79 R80 R81,R_100K,R_0805_OEM,24,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,P100KCCT-ND,DK,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1003V/P100KCCT-ND/119551
13,"Resistor, 1K, 0.25W, 1%, 0805",R_1K,R43 R44,R_1K,R_0805_OEM,2,https://www.seielect.com/Catalog/SEI-rncp.pdf,RNCP0805FTD1K00CT-ND,DK,https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND
14,RES SMD 3.3 OHM 1% 25W DPAK,R_3.3_25W_TO163,R11 R12 R13 R14 R15 R16 R17 R18 R19 R20,R_3.3_25W_TO163,PWR163,10,https://www.bourns.com/docs/Product-Datasheets/PWR163.pdf,PWR163S-25-3R30F-ND,DK,https://www.digikey.com/products/en?keywords=PWR163S-25-3R30F-ND
15,4.99k resistor,R_4.99K,R21 R22 R23 R24 R25 R26 R27 R28 R29 R30 R45 R47,R_4.99K,R_0805_OEM,12,https://www.digikey.com/product-detail/en/yageo/RC0402FR-074K99L/311-4.99KLRTR-ND/2827568,RNCP0805FTD4K99CT-ND,DK,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD4K99/RNCP0805FTD4K99CT-ND/2240591
16,"Resistor, 475, 0.125W, 1%, 0805",R_475,R1 R2 R3 R4 R5 R6 R7 R8 R9 R10,R_475,R_0805_OEM,10,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-475CRCT-ND,DK,https://www.digikey.com/products/en?keywords=311-475CRCT-ND
17,"Resistor, 60.4, 0.1%, 0.125W, 0805",R_60.4,R48 R52 R56 R60,R_60.4,R_0805_OEM,4,https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf,P60.4DACT-ND,DK,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-6AEB60R4V/P60.4DACT-ND/3075204
18,Transformer LAN 10/100 base-T,T_LAN_7490100111A,T1,T_LAN_7490100111A,T_LAN_7490100111A,1,https://katalog.we-online.de/pbs/datasheet/7490100111A.pdf,732-5711-1-ND,DK,https://www.digikey.com/product-detail/en/wurth-electronics-inc/7490100111A/732-5711-1-ND/4969381
19,IC EEPROM 1K I2C 400KHZ 8DIP,24AA01,U2,24AA01,SOT-23-5_OEM_24AA01,1,http://ww1.microchip.com/downloads/en/DeviceDoc/21711J.pdf,CAT24AA01TDI-GT3OSCT-ND,DK,https://www.digikey.com/product-detail/en/on-semiconductor/CAT24AA01TDI-GT3/CAT24AA01TDI-GT3OSCT-ND/3487510
20,Single-Ended 8-Channel/ Differential 4-Channel Analog Multiplexer with SMBus Interface,LTC1380IGN,U5 U6 U7,LTC1380IGN,SSOP-16_3.9x4.9mm_P0.635mm,3,https://www.analog.com/media/en/technical-documentation/data-sheets/138093f.pdf,LTC1380IGN#PBF-ND,DK,https://www.digikey.com/product-detail/en/linear-technology-analog-devices/LTC1380IGN-TRPBF/LTC1380IGN-TRPBFCT-ND/9554873
