Part,References,Quantity Per PCB,MPN,MFN,PurchasingLink,MPN2,Webpage,Purchasing Link
C_0.1uF,C3 C6 C10 C11,4,478-3352-1-ND,Digi-Key,https://www.digikey.com/products/en?keywords=478-3352-1-ND,,,
C_0.33uF,C13 C14 C15,3,0805YC334J4T2A-ND,Digi-Key,https://www.digikey.com/products/en/capacitors/ceramic-capacitors/60?k=&pkeyword=&pv405=108&FV=fffc01de%2C400006%2Cmu0.33%C2%B5F%7C2049%2Cffe0003c%2Cc0002&mnonly=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=25,,,
C_100pF,C12,1,399-1122-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/kemet/C0805C101J5GACTU/399-1122-1-ND/411397,,,
C_10uF,C1 C2 C4 C5,4,478-5167-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/avx-corporation/0805ZD106KAT2A/478-5167-1-ND/1913257,,,
C_22uF,C7 C8 C9,3,1276-2725-1-ND,Digi-Key,https://www.digikey.com/products/en?keywords=1276-2725-1-ND,,,
C_30pF,C16 C17,2,1276-1130-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21C300JBANNNC/1276-1130-1-ND/3889216,,,
D_Zener_18V,D1,1,SMBJ5355B-TPMSCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=SMBJ5355B-TPMSCT-ND,,,
LED_0805,D2 D3 D4 D5 D6,5,475-1410-1-ND,Digi-Key,https://www.digikey.com/products/en?keywords=475-1410-1-ND,,,
F_500mA_16V,F1,1,507-1786-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/bel-fuse-inc/0ZCH0050FF2G/507-1786-1-ND/4156209,,,
ATMEGA16M1,IC1,1,ATMEGA16M1-AU-ND,Digi-Key,https://www.digikey.com/product-detail/en/atmel/ATMEGA16M1-AU/ATMEGA16M1-AU-ND/2271208,,,
Ultrafit_4_RA,J1,1,WM11574-ND,Digi-Key,https://www.digikey.com/products/en?keywords=1723101304,WM11564-ND,,
L_4.7uH,L1,1,445-6583-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/tdk-corporation/VLP8040T-4R7M/445-6583-1-ND/2465893,,,
CONN_02X03,P1,1,609-3234-ND,Digi-Key,https://www.digikey.com/product-detail/en/amphenol-fci/67997-206HLF/609-3234-ND/1878491,,,
R_0_Jumper,R10,1,A121322CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=A121322CT-ND,,,
R_100,R12,1,RNCP0805FTD100RCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RNCP0805FTD100RCT-ND,,,
R_10k,R6 R8 R16 R17,4,CRS0805-FX-1002ELFCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND,,,
R_120k,R2,1,RMCF0805FT120KCT-ND,Digi-Key,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805FT120K/RMCF0805FT120KCT-ND/2418248,,,
R_178k,R1,1,P178KDATR-ND,Digikey,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805FT178K/RMCF0805FT178KCT-ND/2418280,,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-6AEB1783V/P178KDATR-ND/2025864,
R_1k,R3,1,RNCP0805FTD1K00CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND,,,
R_200,R4 R5 R7 R11,4,RMCF0805JT200RCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RMCF0805JT200RCT-ND,,,
R_30.1k,R13 R14 R15,3,,,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD30K1/RNCP0805FTD30K1CT-ND/2240617,,,
R_55.1k,R9,1,311-51.1KCRCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=311-51.1KCRCT-ND,,,
ADXL335,U5,1,,,https://www.digikey.com/product-detail/en/analog-devices-inc/ADXL335BCPZ-RL7/ADXL335BCPZ-RL7CT-ND/1995485,,,
ADXL345,U4,1,,,https://www.digikey.com/product-detail/en/analog-devices-inc/ADXL345BCCZ/ADXL345BCCZ-ND/2034829,,,
CAN_Transceiver,U3,1,MCP2561-E/SN-ND,Digi-Key,https://www.digikey.com/products/en?keywords=mcp2561-e%2Fsn,,,
L693D1,U1,1,,,,,,https://www.digikey.com/product-detail/en/stmicroelectronics/L6932D1.2TR/497-5724-1-ND/1299970
TPS561201,U2,1,TPS561201,Digi-Key,https://www.digikey.com/products/en?keywords=296-46928-1-ND,,,
Crystal_SMD,Y1,1,SER3686CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=SER3686CT-ND,,,
