Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink,Purchasing Link
1,"Capacitor, 0.1uF, 50V, 5%, 0805",C_0.1uF,C1 C4 C5 C9 C10 C12,C_0.1uF,C_0805_OEM,6,http://datasheets.avx.com/X7RDielectric.pdf,Value,478-3352-1-ND,Digi-Key DK,https://www.digikey.com/products/en?keywords=478-3352-1-ND,
2,"Capacitor, 0.1uF, 25V, 10%, 0603",C_100nF,C13 C14,C_100nF,C_0603_1608Metric,2,http://www.samsungsem.com/kr/support/product-search/mlcc/CL10A475KQ8NNNC.jsp,,1276-6717-1-ND,DK,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10B104KA8WPNC/1276-6717-1-ND/5961576,
3,"Capacitor, 100pF, 50V, 5%, 0805",C_100pF,C2,C_100pF,C_0805_OEM,1,https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf,Value,399-1122-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/kemet/C0805C101J5GACTU/399-1122-1-ND/411397,
4,"Capacitor, 1uF, 25V, 10%, 0805",C_1uF,C11,C_1uF,C_0805_OEM,1,http://datasheets.avx.com/X7RDielectric.pdf,Value,478-10487-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/avx-corporation/08053C105JAT2A/478-10487-1-ND/6797628,
5,"Capacitor, 22uF, 16V, 20%, 1206",C_22uF,C3,C_22uF,C_1206_OEM,1,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2017/07/28/S_CL31A226KOCLFNC.pdf,Value,1276-2725-1-ND,Digi-Key,https://www.digikey.com/products/en?keywords=1276-2725-1-ND,
6,"Capacitor, 30pF, 50V, 5%, 0805",C_30pF,C6 C8,C_30pF,C_0805_OEM,2,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,Value,1276-1130-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21C300JBANNNC/1276-1130-1-ND/3889216,
7,"Capacitor, 47uF, 6.3V, 20%, 0805",C_47uF,C7,C_47uF,C_0805_OEM,1,http://www.yuden.co.jp/productdata/catalog/en/mlcc_all_e.pdf,Value,587-4280-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/taiyo-yuden/JMK212BBJ476MG-T/587-4280-1-ND/5344315,
8,"Diode, Zener, 18V, 5W, 5%",D_Zener_18V,D7,D_Zener_18V,DO-214AA,1,http://www.mccsemi.com/up_pdf/SMBJ5338B-SMBJ5388B(SMB).pdf,DO-214AA (SMB),SMBJ5355B-TPMSCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=SMBJ5355B-TPMSCT-ND,
9,"LED, Green, 2.2V, 20mA, 0805",LED_0805,D1 D2 D3 D4 D5,LED_0805,LED_0805_OEM,5,http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf,Value,475-1410-1-ND,Digi-Key DK,https://www.digikey.com/products/en?keywords=475-1410-1-ND,
10,"Fuse, PTC, 500mA, 16V, 1210",F_500mA_16V,F1,500mA,Fuse_1210,1,https://belfuse.com/resources/CircuitProtection/datasheets/0ZCH%20Nov2016.pdf,Value,507-1786-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/bel-fuse-inc/0ZCH0050FF2G/507-1786-1-ND/4156209,
11,"Connector header through hole 2x3 0.100"" (2.54mm)",CONN_02X03,J4,CONN_02X03,Pin_Header_Straight_2x03,1,http://portal.fciconnect.com/Comergent//fci/drawing/67996.pdf,Value,609-3234-ND,Digi-Key,https://www.digikey.com/product-detail/en/amphenol-fci/67997-206HLF/609-3234-ND/1878491,
12,Micro-MaTch connector 8 pin female right angle,UF_8_RA,J1,UF_8_RA,Ultrafit_8_RA,1,https://www.molex.com/pdm_docs/sd/1723161306_sd.pdf,,WM11861-ND,DigiKey,https://www.digikey.com/product-detail/en/molex/1723161308/WM11861-ND/5360326,
13,"Inductor, 4.7uH, 4.4A, 25mOhm, 20%",L_4.7uH,L1,L_4.7uH,4.7uH_Inductor_OEM,1,https://product.tdk.com/info/en/documents/wdcatalog/withdrawn_inductor_commercial_power_vlp8040_en.pdf,Value,445-6583-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/tdk-corporation/VLP8040T-4R7M/445-6583-1-ND/2465893,
14,"Resistor, 0 ohm jumper, 0.1W, 0603",R_0,R9,R_0_Jumper,R_2512_OEM,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=9-1773463-7&DocType=DS&DocLang=English,Value,A121322CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=A121322CT-ND,
15,"Resistor, 100, 0.25W, 1%, 0805",R_100,R1,R_100,R_0805_OEM,1,https://www.seielect.com/Catalog/SEI-rncp.pdf,Value,RNCP0805FTD100RCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RNCP0805FTD100RCT-ND,
16,"Resistor, 10K, 5W, 1%, Axial",R_10K_HV,R3 R4,R_10k,R_0805_OEM,2,http://www.bourns.com/data/global/pdfs/CRS.pdf,Value,CRS0805-FX-1002ELFCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND,
17,"Resistor, 10K, 0.25W, 1%, 0805",R_10K,R8,R_10k,R_0805_OEM,1,http://www.bourns.com/data/global/pdfs/CRS.pdf,Value,CRS0805-FX-1002ELFCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND,
18,"Resistor, 120, 0.125W, 1%, 0805",R_120,R7,R_120,R_0805_OEM,1,https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf,,667-ERJ-6ENF1200V,DK,https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d,
19,"Resistor, 1K, 0.25W, 1%, 0805",R_1K,R2,R_1k,R_0805_OEM,1,https://www.seielect.com/Catalog/SEI-rncp.pdf,Value,RNCP0805FTD1K00CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND,
20,"Resistor, 200, 0.125W, 5%, 0805",R_200,R6 R10 R11 R12,R_200,R_0805_OEM,4,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Value,RMCF0805JT200RCT-ND,DK Digi-Key,https://www.digikey.com/products/en?keywords=RMCF0805JT200RCT-ND,
21,"Resistor, 51.1K, 0.125W, 1%, 0805",R_51.1K,R5,R_51.1k,R_0805_OEM,1,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,Value,311-51.1KCRCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=311-51.1KCRCT-ND,
22,"Microcontroller, 8-bit, 1KB RAM, 16KB Flash",ATMEGA16M1,U5,ATMEGA16M1,TQFP-32_7x7mm_Pitch0.8mm,1,http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8209-8-bit%20AVR%20ATmega16M1-32M1-64M1_Datasheet.pdf,,ATMEGA16M1-AU-ND,DK,https://www.digikey.com/product-detail/en/atmel/ATMEGA16M1-AU/ATMEGA16M1-AU-ND/2271208,
23,,BMI088,U4,BMI088,bmi088,1,https://ae-bst.resource.bosch.com/media/_tech/media/product_flyer/Bosch_Sensortec_Product_flyer_BMI088.pdf,,,,,https://www.digikey.com/product-detail/en/bosch-sensortec/BMI088/828-1082-1-ND/8634942
24,"High speed CAN transceiver, 1Mb/s",MCP2561-E_SN,U1,CAN_Transceiver,SOIC-8_3.9x4.9mm_Pitch1.27mm_OEM,1,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en561044,Value,MCP2561-E/SN-ND,Digi-Key,https://www.digikey.com/products/en?keywords=mcp2561-e%2Fsn,
25,"Linear regulator, 30V max input, 3.3V output, 100mA",LM3480,U3,LM3480,SOT-23-3_OEM,1,http://www.ti.com/lit/ds/symlink/lm3480.pdf,,LM3480IM3-3.3CT-ND,DK,https://www.digikey.com/product-detail/en/texas-instruments/LM3480IM3-3.3/LM3480IM3-3.3CT-ND/3701583,
26,"Buck converter, 4.5-17V input, adj 0.76-7V output, 1A, 580kHz",TPS561201,U2,TPS561201,SOT-23-6_OEM,1,http://www.ti.com/lit/ds/symlink/tps561201.pdf,Value,TPS561201,Digi-Key,https://www.digikey.com/products/en?keywords=296-46928-1-ND,
27,CRYSTAL 16.0000MHZ 18PF SMD,Crystal_SMD,Y1,Crystal_SMD,Crystal_SMD_FA238,1,https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238V_en.pdf,Value,SER3686CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=SER3686CT-ND,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Groups:,27,,,,,,,,,,,
Component Count:,42,,,,,,,,,,,
Fitted Components:,42,,,,,,,,,,,
Number of PCBs:,1,,,,,,,,,,,
Total components:,42,,,,,,,,,,,
Schematic Version:,,,,,,,,,,,,
Schematic Date:,,,,,,,,,,,,
BoM Date:,Tue 12 Feb 2019 12:32:12 AM EST,,,,,,,,,,,
