Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,MFN,MPN,PurchasingLink,Package,Link,Digi-key Part Number,Purchasing Link
1,"b'Capacitor, 0.1uF, 50V, 5%, 0805'",b'C_0.1uF',b'C2 C3 C5 C6 C8 C9 C11',b'C_0.1uF',b'C_0805_OEM',b'7',b'http://datasheets.avx.com/X7RDielectric.pdf',b'DK Digi-Key',b'478-3352-1-ND',b'https://www.digikey.com/products/en?keywords=478-3352-1-ND',b'Value',b'',b'',b''
2,"b'Capacitor, 100pF, 50V, 5%, 0805'",b'C_100pF',b'C10',b'C_100pF',b'C_0805_OEM',b'1',b'https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf',b'Digi-Key',b'399-1122-1-ND',b'https://www.digikey.com/product-detail/en/kemet/C0805C101J5GACTU/399-1122-1-ND/411397',b'Value',b'',b'',b''
3,"b'Capacitor, 2.2uF, 10V, 10%, 0603'",b'C_2.2uF',b'C7',b'C_2.2uF',b'C_0603_1608Metric',b'1',b'http://www.yageo.com/documents/recent/UPY-GPHC_X5R_4V-to-50V_25.pdf',b'DK',b'311-1451-1-ND',b'https://www.digikey.com/product-detail/en/yageo/CC0603KRX5R6BB225/311-1451-1-ND/2833757',b'',b'',b'',b''
4,"b'Capacitor, 22uF, 16V, 20%, 1206'",b'C_22uF',b'C12',b'C_22uF',b'C_1206_OEM',b'1',b'https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf',b'DK',b'445-11693-1-ND',b'https://www.digikey.com/product-detail/en/tdk-corporation/C3216JB1C226M160AB/445-11693-1-ND/3953359',b'',b'',b'',b''
5,"b'Capacitor, 30pF, 50V, 5%, 0805'",b'C_30pF',b'C1 C4',b'C_30pF',b'C_0805_OEM',b'2',b'https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf',b'Digi-Key',b'1276-1130-1-ND',b'https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21C300JBANNNC/1276-1130-1-ND/3889216',b'Value',b'',b'',b''
6,b'',b'C_33uF',b'C13',b'C_33uF',b'C_1812',b'1',b'https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf',b'C4532X7R1C336M250KC',b'445-3924-1-ND',b'https://www.digikey.com/product-detail/en/tdk-corporation/C4532X7R1C336M250KC/445-3924-1-ND/1923431',b'',b'',b'',b''
7,"b'Capacitor, 47uF, 6.3V, 20%, 0805'",b'C_47uF',b'C14',b'C_47uF',b'C_0805_OEM',b'1',b'http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/22/CL21A476MQYNNNG.pdf',b'DK',b'1276-6467-1-ND',b'https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A476MQYNNNG/1276-6467-1-ND/5958095',b'',b'',b'',b''
8,"b'Diode, Zener, 18V, 5W, 5%'",b'D_Zener_18V',b'D1',b'D_Zener_18V',b'DO-214AA',b'1',b'http://www.mccsemi.com/up_pdf/SMBJ5338B-SMBJ5388B(SMB).pdf',b'DK',b'SMBJ5355B-TPMSCT-ND',b'https://www.digikey.com/products/en?keywords=SMBJ5355B-TPMSCT-ND',b'',b'',b'',b''
9,"b'LED, Green, 2.2V, 20mA, 0805'",b'LED_0805',b'D2 D3 D4',b'LED_0805',b'LED_0805_OEM',b'3',b'http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf',b'DK',b'475-1410-1-ND',b'https://www.digikey.com/products/en?keywords=475-1410-1-ND',b'',b'',b'',b''
10,"b'Fuse, PTC, 500mA, 16V, 1210'",b'F_500mA_16V',b'F1',b'F_500mA_16V',b'Fuse_1210',b'1',b'https://belfuse.com/resources/CircuitProtection/datasheets/0ZCH%20Nov2016.pdf',b'DK',b'507-1786-1-ND',b'https://www.digikey.com/product-detail/en/bel-fuse-inc/0ZCH0050FF2G/507-1786-1-ND/4156209',b'',b'',b'',b''
