Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink,Purchase_Link
1,"Capacitor, 0.1uF, 50V, 5%, 0805",C_0.1uF,C1 C2 C4 C5 C6 C7,C_0.1uF,C_0805_OEM,6,http://datasheets.avx.com/X7RDielectric.pdf,Value,478-3352-1-ND,DK,https://www.digikey.com/products/en?keywords=478-3352-1-ND,
2,"Capacitor, 100pF, 50V, 5%, 0805",C_100pF,C8,C_100pF,C_0805_OEM,1,https://katalog.we-online.de/pbs/datasheet/885012007057.pdf,Value,732-7852-1-ND,DK,https://www.digikey.com/product-detail/en/wurth-electronics-inc/885012007057/732-7852-1-ND/5454479,
3,"Capacitor, 1uF, 25V, 10%, 0805",C_1uF,C11,C_1uF,C_0805_OEM,1,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/20/CL21A105KAFNNNE.pdf,Value,1276-2887-1-ND,DK,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A105KAFNNNE/1276-2887-1-ND/3890973,
4,"Capacitor, 22uF, 16V, 20%, 1206",C_22uF,C3,C_22uF,C_1206_OEM,1,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf,Value,445-11693-1-ND,DK,https://www.digikey.com/product-detail/en/tdk-corporation/C3216JB1C226M160AB/445-11693-1-ND/3953359,
5,"Capacitor, 30pF, 50V, 5%, 0805",C_30pF,C9 C10,C_30pF,C_0805_OEM,2,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,Value,1276-1130-1-ND,DK,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21C300JBANNNC/1276-1130-1-ND/3889216,
6,"Capacitor, 47uF, 6.3V, 20%, 0805",C_47uF,C12,C_47uF,C_0805_OEM,1,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/22/CL21A476MQYNNNG.pdf,Value,1276-6467-1-ND,DK,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A476MQYNNNG/1276-6467-1-ND/5958095,
7,"Diode, Zener, 18V, 5W, 5%",D_Zener_18V,D7,D_Zener_18V,DO-214AA,1,http://www.mccsemi.com/up_pdf/SMBJ5338B-SMBJ5388B(SMB).pdf,DO-214AA (SMB),SMBJ5355B-TPMSCT-ND,DK,https://www.digikey.com/products/en?keywords=SMBJ5355B-TPMSCT-ND,
8,"LED, Green, 2.2V, 20mA, 0805",LED_0805,D1 D2 D3 D4 D5 D6 D8 D9 D10,LED_0805,LED_0805_OEM,9,http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf,Value,475-1410-1-ND,DK,https://www.digikey.com/products/en?keywords=475-1410-1-ND,
9,"Fuse, PTC, 500mA, 16V, 1210",F_500mA_16V,F1,500mA,Fuse_1210,1,https://belfuse.com/resources/CircuitProtection/datasheets/0ZCH%20Nov2016.pdf,Value,507-1786-1-ND,DK,https://www.digikey.com/product-detail/en/bel-fuse-inc/0ZCH0050FF2G/507-1786-1-ND/4156209,
10,"Microcontroller, 8-bit, 1KB RAM, 16KB Flash",ATMEGA16M1,IC1,ATMEGA16M1,TQFP-32_7x7mm_Pitch0.8mm,1,http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8209-8-bit%20AVR%20ATmega16M1-32M1-64M1_Datasheet.pdf,Value,ATMEGA16M1-AU-ND,DK,https://www.digikey.com/product-detail/en/atmel/ATMEGA16M1-AU/ATMEGA16M1-AU-ND/2271208,
